
2024-05-03 08:42:22 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.46v, 18TxC, 11SxC, 12S EN50 Normal West Community High School STEM
2024-05-03 08:42:44 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134027h4031.26N/08901.36WO015/000/A=000813 018TxC  18.10C 1007.80hPa  4.66V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:44:37 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.46v, 19TxC, 12SxC, 12S EN50 Normal West Community High School STEM
2024-05-03 08:44:59 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134242h4031.26N/08901.36WO015/000/A=000807 019TxC  17.60C  997.12hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:45:52 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134549h4031.26N/08901.36WO015/000/A=000808 020TxC  17.20C  988.11hPa  4.66V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:46:45 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134642h4031.26N/08901.36WO015/000/A=000826 021TxC  17.20C  989.09hPa  4.63V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:47:38 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134735h4031.26N/08901.36WO015/000/A=000789 022TxC  16.80C  979.09hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:48:31 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134828h4031.26N/08901.36WO015/000/A=000792 023TxC  17.10C  987.52hPa  4.64V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:49:24 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/134921h4031.26N/08901.36WO015/000/A=000801 024TxC  18.40C 1013.21hPa  4.63V 09S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:50:17 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:/135014h4031.26N/08901.36WO015/000/A=000863 025TxC  17.90C 1004.88hPa  4.62V 12S   0.00C      0.0Pa  0.00% !wN%! !wY%! !wv`!
2024-05-03 08:51:53 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.35v, 1TxC, 1SxC, 00S No GPS Lock: Time 2000-00-00 00:00:00,    0M, 100188Pa
2024-05-03 08:52:46 CDT: KD9SAT-12>APLIGA,WIDE1-1,qAR,KD9ZSY-10:>Bat 4.40v, 1TxC, 2SxC, 00S No GPS Lock: Time 2000-00-00 13:52:45,    0M, 105258Pa
